t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
2.2206,0.044,4.3532,0,0.9354,0.9846,0.9639,0.3316,0.3316,0,0,0.8005,0.9391,0.8698,0.5,2024-06-02 08:47:38
1.1918,0.0433,2.297,0,0.9358,0.9848,0.9643,0.3336,0.3336,0,0,0.8006,0.9389,0.8701,0.5,2024-06-02 08:50:46
0.9525,0.0425,1.8201,0,0.9365,0.9849,0.9649,0.3351,0.3351,0,0,0.8004,0.9388,0.87,0.5,2024-06-02 08:54:29
0.8548,0.0428,1.6239,0,0.9355,0.9847,0.964,0.3349,0.3349,0,0,0.8,0.9387,0.8696,0.5,2024-06-02 08:59:30
0.7644,0.0434,1.442,0,0.9355,0.9847,0.9643,0.3361,0.3361,0,0,0.8003,0.9387,0.87,0.5,2024-06-02 09:05:56
0.7552,0.0436,1.4232,0,0.9356,0.9847,0.9642,0.3319,0.3319,0,0,0.8013,0.9393,0.8705,0.5,2024-06-02 09:11:45
0.7729,0.043,1.4598,0,0.9361,0.9848,0.9646,0.3341,0.3341,0,0,0.8005,0.9388,0.87,0.5,2024-06-02 09:18:21
0.7169,0.0428,1.3483,0,0.9362,0.9848,0.9647,0.3304,0.3304,0,0,0.8004,0.9391,0.8698,0.5,2024-06-02 09:26:25
0.7004,0.0443,1.3123,0,0.9352,0.9845,0.964,0.3332,0.3332,0,0,0.8007,0.9389,0.8703,0.5,2024-06-02 09:33:46
0.7103,0.0433,1.3341,0,0.9353,0.9846,0.9642,0.3324,0.3324,0,0,0.8003,0.9388,0.8698,0.5,2024-06-02 09:41:13
0.7241,0.0439,1.3603,0,0.9352,0.9847,0.9641,0.3312,0.3312,0,0,0.8007,0.9391,0.8701,0.5,2024-06-02 09:48:31
0.7836,0.0428,1.4815,0,0.9354,0.9847,0.9642,0.3374,0.3374,0,0,0.8004,0.9386,0.8701,0.5,2024-06-02 09:55:49
0.7711,0.0429,1.4564,0,0.9362,0.9848,0.9647,0.3348,0.3348,0,0,0.8009,0.9389,0.8704,0.5,2024-06-02 10:03:11
0.7284,0.0433,1.3703,0,0.9354,0.9847,0.9643,0.3355,0.3355,0,0,0.8008,0.9388,0.8703,0.5,2024-06-02 10:10:33
0.7488,0.043,1.4116,0,0.9358,0.9847,0.9644,0.3355,0.3355,0,0,0.8005,0.9388,0.8701,0.5,2024-06-02 10:17:52
0.7566,0.043,1.4272,0,0.9363,0.9848,0.9648,0.3361,0.3361,0,0,0.8007,0.9387,0.8702,0.5,2024-06-02 10:25:15
0.7695,0.0432,1.4525,0,0.9352,0.9846,0.9641,0.3339,0.3339,0,0,0.8007,0.9389,0.8701,0.5,2024-06-02 10:32:41
0.7676,0.0428,1.4497,0,0.9359,0.9848,0.9644,0.3333,0.3333,0,0,0.8007,0.9389,0.8701,0.5,2024-06-02 10:39:58
0.7441,0.0434,1.4015,0,0.9355,0.9847,0.9642,0.3352,0.3352,0,0,0.8006,0.9387,0.8702,0.5,2024-06-02 10:47:14
0.717,0.0422,1.3497,0,0.9359,0.9849,0.9643,0.3358,0.3358,0,0,0.8007,0.9387,0.8702,0.5,2024-06-02 10:54:31
0.714,0.0422,1.3437,0,0.9364,0.9849,0.9648,0.3353,0.3353,0,0,0.8005,0.9387,0.87,0.5,2024-06-02 11:01:57
0.6908,0.0426,1.2965,0,0.9355,0.9847,0.9639,0.3363,0.3363,0,0,0.8011,0.9387,0.8706,0.5,2024-06-02 11:09:18
0.6625,0.0416,1.2418,0,0.9366,0.9849,0.9649,0.3354,0.3354,0,0,0.8011,0.9388,0.8706,0.5,2024-06-02 11:16:45
0.6322,0.0431,1.178,0,0.9355,0.9847,0.9641,0.3332,0.3332,0,0,0.8007,0.9389,0.8702,0.5,2024-06-02 11:24:07
0.6133,0.0431,1.1404,0,0.9354,0.9847,0.9642,0.3335,0.3335,0,0,0.8008,0.939,0.8702,0.5,2024-06-02 11:31:22
0.6218,0.0423,1.159,0,0.9367,0.9848,0.9652,0.3337,0.3337,0,0,0.8007,0.9388,0.8703,0.5,2024-06-02 11:38:36
0.6489,0.042,1.2138,0,0.936,0.9848,0.9645,0.3347,0.3347,0,0,0.8005,0.9389,0.87,0.5,2024-06-02 11:45:43
0.6412,0.0433,1.1958,0,0.9363,0.9848,0.9648,0.3314,0.3314,0,0,0.8003,0.9392,0.8697,0.5,2024-06-02 11:52:47
0.6324,0.0427,1.1794,0,0.9356,0.9847,0.9643,0.3342,0.3342,0,0,0.8002,0.9388,0.8696,0.5,2024-06-02 11:59:54
